timestamp,player_name,cheapest_sale,average_bin,ea_avg_price,url
2025-09-26 14:48:12,Melchie Dumornay,54000,60517,58000,https://www.futbin.com/26/player/257/melchie-dumornay/market
2025-09-26 15:02:43,Melchie Dumornay,54000,60556,65000,Gold Rare - EA FC 26,https://www.futbin.com/26/player/257/melchie-dumornay/market
2025-09-26 15:02:53,Ronaldo,9800,12289,13125,,https://www.futbin.com/26/player/724/cristiano-ronaldo-dos-santos-aveiro/market
